Freq.	V(vout)
Step Information: Run=1  (Run: 1/100)
3.00000000000000e+003	(-1.11065572458000e-002dB,1.74254394709889e+002°)
3.06987897684226e+003	(-1.45863934367280e-002dB,1.74112025190534e+002°)
3.14138564415270e+003	(-1.82477765736038e-002dB,1.73965702405088e+002°)
3.21455791571282e+003	(-2.21010777480641e-002dB,1.73815285355884e+002°)
3.28943458842955e+003	(-2.61573511296964e-002dB,1.73660625831638e+002°)
3.36605536290589e+003	(-3.04283879825328e-002dB,1.73501567901792e+002°)
3.44446086449065e+003	(-3.49267758396586e-002dB,1.73337947367276e+002°)
3.52469266481859e+003	(-3.96659634168476e-002dB,1.73169591163342e+002°)
3.60679330385224e+003	(-4.46603319230700e-002dB,1.72996316709591e+002°)
3.69080631243714e+003	(-4.99252735098706e-002dB,1.72817931201781e+002°)
3.77677623538250e+003	(-5.54772777027280e-002dB,1.72634230839355e+002°)
3.86474865507940e+003	(-6.13340267706317e-002dB,1.72444999981893e+002°)
3.95477021566922e+003	(-6.75145011220426e-002dB,1.72250010226905e+002°)
4.04688864777496e+003	(-7.40390959674950e-002dB,1.72049019400412e+002°)
4.14115279380865e+003	(-8.09297506653629e-002dB,1.71841770450729e+002°)
4.23761263386826e+003	(-8.82100923718658e-002dB,1.71627990234651e+002°)
4.33631931223778e+003	(-9.59055958530934e-002dB,1.71407388183843e+002°)
4.43732516450462e+003	(-1.04043761596149e-001dB,1.71179654837668e+002°)
4.54068374530862e+003	(-1.12654314677915e-001dB,1.70944460226868e+002°)
4.64644985673744e+003	(-1.21769427231659e-001dB,1.70701452090432e+002°)
4.75467957738334e+003	(-1.31423967795183e-001dB,1.70450253905555e+002°)
4.86543029207679e+003	(-1.41655781352024e-001dB,1.70190462707858e+002°)
4.97876072231268e+003	(-1.52506004492910e-001dB,1.69921646675804e+002°)
5.09473095738523e+003	(-1.64019420862318e-001dB,1.69643342449544e+002°)
5.21340248624812e+003	(-1.76244862923524e-001dB,1.69355052150102e+002°)
5.33483823011676e+003	(-1.89235667113967e-001dB,1.69056240059798e+002°)
5.45910257582995e+003	(-2.03050190702726e-001dB,1.68746328918952e+002°)
5.58626140998860e+003	(-2.17752400146453e-001dB,1.68424695787052e+002°)
5.71638215388974e+003	(-2.33412542526874e-001dB,1.68090667408556e+002°)
5.84953379927413e+003	(-2.50107913807703e-001dB,1.67743515014078e+002°)
5.98578694490663e+003	(-2.67923740256840e-001dB,1.67382448476582e+002°)
6.12521383400858e+003	(-2.86954192551002e-001dB,1.67006609729127e+002°)
6.26788839256211e+003	(-3.07303555945267e-001dB,1.66615065335174e+002°)
6.41388626850669e+003	(-3.29087584625092e-001dB,1.66206798084028e+002°)
