Freq.	V(vout)
1.00000000000000e+003	(-1.11635588493980e+002dB,1.79818436146141e+002°)
1.00230523807790e+003	(-1.11595567184259e+002dB,1.79818017471691e+002°)
1.00461579027840e+003	(-1.11555545776151e+002dB,1.79817597831219e+002°)
1.00693166885180e+003	(-1.11515524269200e+002dB,1.79817177222493e+002°)
1.00925288607668e+003	(-1.11475502662952e+002dB,1.79816755643273e+002°)
1.01157945425990e+003	(-1.11435480956946e+002dB,1.79816333091317e+002°)
1.01391138573668e+003	(-1.11395459150723e+002dB,1.79815909564376e+002°)
1.01624869287070e+003	(-1.11355437243819e+002dB,1.79815485060197e+002°)
1.01859138805412e+003	(-1.11315415235770e+002dB,1.79815059576519e+002°)
1.02093948370768e+003	(-1.11275393126107e+002dB,1.79814633111080e+002°)
1.02329299228075e+003	(-1.11235370914363e+002dB,1.79814205661608e+002°)
1.02565192625141e+003	(-1.11195348600066e+002dB,1.79813777225831e+002°)
1.02801629812647e+003	(-1.11155326182741e+002dB,1.79813347801466e+002°)
1.03038612044162e+003	(-1.11115303661914e+002dB,1.79812917386229e+002°)
1.03276140576140e+003	(-1.11075281037106e+002dB,1.79812485977830e+002°)
1.03514216667934e+003	(-1.11035258307836e+002dB,1.79812053573971e+002°)
1.03752841581801e+003	(-1.10995235473623e+002dB,1.79811620172352e+002°)
1.03992016582906e+003	(-1.10955212533982e+002dB,1.79811185770666e+002°)
1.04231742939330e+003	(-1.10915189488426e+002dB,1.79810750366600e+002°)
1.04472021922080e+003	(-1.10875166336466e+002dB,1.79810313957837e+002°)
1.04712854805090e+003	(-1.10835143077609e+002dB,1.79809876542055e+002°)
1.04954242865232e+003	(-1.10795119711364e+002dB,1.79809438116924e+002°)
1.05196187382322e+003	(-1.10755096237233e+002dB,1.79808998680112e+002°)
1.05438689639126e+003	(-1.10715072654718e+002dB,1.79808558229278e+002°)
1.05681750921366e+003	(-1.10675048963319e+002dB,1.79808116762079e+002°)
1.05925372517729e+003	(-1.10635025162533e+002dB,1.79807674276165e+002°)
1.06169555719872e+003	(-1.10595001251854e+002dB,1.79807230769179e+002°)
1.06414301822431e+003	(-1.10554977230776e+002dB,1.79806786238761e+002°)
1.06659612123026e+003	(-1.10514953098788e+002dB,1.79806340682544e+002°)
1.06905487922266e+003	(-1.10474928855378e+002dB,1.79805894098157e+002°)
1.07151930523761e+003	(-1.10434904500031e+002dB,1.79805446483221e+002°)
1.07398941234124e+003	(-1.10394880032230e+002dB,1.79804997835355e+002°)
1.07646521362983e+003	(-1.10354855451457e+002dB,1.79804548152168e+002°)
1.07894672222983e+003	(-1.10314830757189e+002dB,1.79804097431268e+002°)
1.08143395129794e+003	(-1.10274805948902e+002dB,1.79803645670254e+002°)
1.08392691402120e+003	(-1.10234781026069e+002dB,1.79803192866720e+002°)
1.08642562361706e+003	(-1.10194755988162e+002dB,1.79802739018257e+002°)
1.08893009333343e+003	(-1.10154730834648e+002dB,1.79802284122448e+002°)
1.09144033644875e+003	(-1.10114705564995e+002dB,1.79801828176870e+002°)
1.09395636627209e+003	(-1.10074680178664e+002dB,1.79801371179096e+002°)
1.09647819614318e+003	(-1.10034654675119e+002dB,1.79800913126692e+002°)
1.09900583943252e+003	(-1.09994629053817e+002dB,1.79800454017220e+002°)
1.10153930954141e+003	(-1.09954603314214e+002dB,1.79799993848233e+002°)
1.10407861990207e+003	(-1.09914577455764e+002dB,1.79799532617283e+002°)
1.10662378397766e+003	(-1.09874551477918e+002dB,1.79799070321913e+002°)
1.10917481526240e+003	(-1.09834525380124e+002dB,1.79798606959660e+002°)
1.11173172728159e+003	(-1.09794499161829e+002dB,1.79798142528058e+002°)
1.11429453359173e+003	(-1.09754472822476e+002dB,1.79797677024633e+002°)
1.11686324778056e+003	(-1.09714446361505e+002dB,1.79797210446906e+002°)
1.11943788346715e+003	(-1.09674419778356e+002dB,1.79796742792391e+002°)
1.12201845430196e+003	(-1.09634393072463e+002dB,1.79796274058599e+002°)
1.12460497396692e+003	(-1.09594366243261e+002dB,1.79795804243033e+002°)
1.12719745617551e+003	(-1.09554339290178e+002dB,1.79795333343190e+002°)
1.12979591467279e+003	(-1.09514312212644e+002dB,1.79794861356563e+002°)
1.13240036323555e+003	(-1.09474285010082e+002dB,1.79794388280637e+002°)
1.13501081567231e+003	(-1.09434257681917e+002dB,1.79793914112893e+002°)
1.13762728582343e+003	(-1.09394230227566e+002dB,1.79793438850805e+002°)
1.14024978756117e+003	(-1.09354202646449e+002dB,1.79792962491841e+002°)
1.14287833478977e+003	(-1.09314174937979e+002dB,1.79792485033464e+002°)
1.14551294144553e+003	(-1.09274147101567e+002dB,1.79792006473130e+002°)
1.14815362149688e+003	(-1.09234119136624e+002dB,1.79791526808291e+002°)
1.15080038894443e+003	(-1.09194091042555e+002dB,1.79791046036391e+002°)
1.15345325782109e+003	(-1.09154062818764e+002dB,1.79790564154869e+002°)
1.15611224219210e+003	(-1.09114034464651e+002dB,1.79790081161158e+002°)
1.15877735615512e+003	(-1.09074005979615e+002dB,1.79789597052684e+002°)
1.16144861384034e+003	(-1.09033977363051e+002dB,1.79789111826868e+002°)
1.16412602941049e+003	(-1.08993948614352e+002dB,1.79788625481126e+002°)
1.16680961706096e+003	(-1.08953919732906e+002dB,1.79788138012866e+002°)
1.16949939101987e+003	(-1.08913890718101e+002dB,1.79787649419490e+002°)
1.17219536554813e+003	(-1.08873861569321e+002dB,1.79787159698397e+002°)
1.17489755493953e+003	(-1.08833832285947e+002dB,1.79786668846975e+002°)
1.17760597352080e+003	(-1.08793802867358e+002dB,1.79786176862610e+002°)
1.18032063565173e+003	(-1.08753773312928e+002dB,1.79785683742681e+002°)
1.18304155572516e+003	(-1.08713743622030e+002dB,1.79785189484560e+002°)
1.18576874816716e+003	(-1.08673713794034e+002dB,1.79784694085612e+002°)
1.18850222743701e+003	(-1.08633683828307e+002dB,1.79784197543199e+002°)
1.19124200802737e+003	(-1.08593653724212e+002dB,1.79783699854673e+002°)
1.19398810446427e+003	(-1.08553623481111e+002dB,1.79783201017383e+002°)
1.19674053130724e+003	(-1.08513593098360e+002dB,1.79782701028671e+002°)
1.19949930314937e+003	(-1.08473562575315e+002dB,1.79782199885872e+002°)
1.20226443461741e+003	(-1.08433531911328e+002dB,1.79781697586315e+002°)
1.20503594037179e+003	(-1.08393501105748e+002dB,1.79781194127322e+002°)
1.20781383510678e+003	(-1.08353470157921e+002dB,1.79780689506212e+002°)
1.21059813355048e+003	(-1.08313439067190e+002dB,1.79780183720293e+002°)
1.21338885046497e+003	(-1.08273407832894e+002dB,1.79779676766871e+002°)
1.21618600064636e+003	(-1.08233376454370e+002dB,1.79779168643243e+002°)
1.21898959892486e+003	(-1.08193344930953e+002dB,1.79778659346701e+002°)
1.22179966016487e+003	(-1.08153313261973e+002dB,1.79778148874530e+002°)
1.22461619926504e+003	(-1.08113281446756e+002dB,1.79777637224009e+002°)
1.22743923115840e+003	(-1.08073249484629e+002dB,1.79777124392410e+002°)
1.23026877081238e+003	(-1.08033217374912e+002dB,1.79776610377001e+002°)
1.23310483322890e+003	(-1.07993185116923e+002dB,1.79776095175040e+002°)
1.23594743344450e+003	(-1.07953152709978e+002dB,1.79775578783781e+002°)
1.23879658653036e+003	(-1.07913120153388e+002dB,1.79775061200472e+002°)
1.24165230759241e+003	(-1.07873087446462e+002dB,1.79774542422352e+002°)
1.24451461177138e+003	(-1.07833054588506e+002dB,1.79774022446657e+002°)
1.24738351424294e+003	(-1.07793021578822e+002dB,1.79773501270613e+002°)
1.25025903021771e+003	(-1.07752988416708e+002dB,1.79772978891442e+002°)
1.25314117494141e+003	(-1.07712955101461e+002dB,1.79772455306359e+002°)
1.25602996369487e+003	(-1.07672921632374e+002dB,1.79771930512571e+002°)
1.25892541179416e+003	(-1.07632888008735e+002dB,1.79771404507282e+002°)
1.26182753459066e+003	(-1.07592854229831e+002dB,1.79770877287686e+002°)
1.26473634747115e+003	(-1.07552820294944e+002dB,1.79770348850971e+002°)
1.26765186585784e+003	(-1.07512786203355e+002dB,1.79769819194320e+002°)
1.27057410520854e+003	(-1.07472751954338e+002dB,1.79769288314908e+002°)
1.27350308101666e+003	(-1.07432717547166e+002dB,1.79768756209904e+002°)
1.27643880881134e+003	(-1.07392682981110e+002dB,1.79768222876471e+002°)
1.27938130415752e+003	(-1.07352648255434e+002dB,1.79767688311763e+002°)
1.28233058265601e+003	(-1.07312613369402e+002dB,1.79767152512931e+002°)
1.28528665994361e+003	(-1.07272578322273e+002dB,1.79766615477117e+002°)
1.28824955169313e+003	(-1.07232543113302e+002dB,1.79766077201456e+002°)
1.29121927361353e+003	(-1.07192507741742e+002dB,1.79765537683077e+002°)
1.29419584144998e+003	(-1.07152472206842e+002dB,1.79764996919103e+002°)
1.29717927098395e+003	(-1.07112436507847e+002dB,1.79764454906649e+002°)
1.30016957803328e+003	(-1.07072400643998e+002dB,1.79763911642824e+002°)
1.30316677845229e+003	(-1.07032364614535e+002dB,1.79763367124730e+002°)
1.30617088813183e+003	(-1.06992328418692e+002dB,1.79762821349463e+002°)
1.30918192299940e+003	(-1.06952292055701e+002dB,1.79762274314110e+002°)
1.31219989901920e+003	(-1.06912255524789e+002dB,1.79761726015754e+002°)
1.31522483219223e+003	(-1.06872218825180e+002dB,1.79761176451470e+002°)
1.31825673855640e+003	(-1.06832181956095e+002dB,1.79760625618325e+002°)
1.32129563418657e+003	(-1.06792144916752e+002dB,1.79760073513381e+002°)
1.32434153519466e+003	(-1.06752107706363e+002dB,1.79759520133692e+002°)
1.32739445772973e+003	(-1.06712070324138e+002dB,1.79758965476306e+002°)
1.33045441797808e+003	(-1.06672032769283e+002dB,1.79758409538263e+002°)
1.33352143216332e+003	(-1.06631995041002e+002dB,1.79757852316597e+002°)
1.33659551654643e+003	(-1.06591957138491e+002dB,1.79757293808335e+002°)
1.33967668742593e+003	(-1.06551919060948e+002dB,1.79756734010495e+002°)
1.34276496113786e+003	(-1.06511880807562e+002dB,1.79756172920092e+002°)
1.34586035405594e+003	(-1.06471842377521e+002dB,1.79755610534130e+002°)
1.34896288259165e+003	(-1.06431803770010e+002dB,1.79755046849609e+002°)
1.35207256319427e+003	(-1.06391764984208e+002dB,1.79754481863521e+002°)
1.35518941235103e+003	(-1.06351726019292e+002dB,1.79753915572849e+002°)
