Freq.	V(n008)/i(v1)
1.00000000000000e+003	(2.39971791805230e+002dB,1.79982136486850e+002°)
1.00230523807790e+003	(2.39971791800560e+002dB,1.79982095307212e+002°)
1.00461579027840e+003	(2.39971791795868e+002dB,1.79982054032645e+002°)
1.00693166885180e+003	(2.39971791791155e+002dB,1.79982012662931e+002°)
1.00925288607668e+003	(2.39971791786420e+002dB,1.79981971197850e+002°)
1.01157945425990e+003	(2.39971791781663e+002dB,1.79981929637182e+002°)
1.01391138573668e+003	(2.39971791776884e+002dB,1.79981887980707e+002°)
1.01624869287070e+003	(2.39971791772083e+002dB,1.79981846228204e+002°)
1.01859138805412e+003	(2.39971791767260e+002dB,1.79981804379451e+002°)
1.02093948370768e+003	(2.39971791762415e+002dB,1.79981762434228e+002°)
1.02329299228075e+003	(2.39971791757547e+002dB,1.79981720392310e+002°)
1.02565192625141e+003	(2.39971791752657e+002dB,1.79981678253476e+002°)
1.02801629812647e+003	(2.39971791747744e+002dB,1.79981636017503e+002°)
1.03038612044162e+003	(2.39971791742808e+002dB,1.79981593684165e+002°)
1.03276140576140e+003	(2.39971791737850e+002dB,1.79981551253239e+002°)
1.03514216667934e+003	(2.39971791732869e+002dB,1.79981508724500e+002°)
1.03752841581801e+003	(2.39971791727865e+002dB,1.79981466097721e+002°)
1.03992016582906e+003	(2.39971791722838e+002dB,1.79981423372679e+002°)
1.04231742939330e+003	(2.39971791717787e+002dB,1.79981380549145e+002°)
1.04472021922080e+003	(2.39971791712714e+002dB,1.79981337626892e+002°)
1.04712854805090e+003	(2.39971791707616e+002dB,1.79981294605694e+002°)
1.04954242865232e+003	(2.39971791702496e+002dB,1.79981251485321e+002°)
1.05196187382322e+003	(2.39971791697351e+002dB,1.79981208265546e+002°)
1.05438689639126e+003	(2.39971791692183e+002dB,1.79981164946139e+002°)
1.05681750921366e+003	(2.39971791686991e+002dB,1.79981121526871e+002°)
1.05925372517729e+003	(2.39971791681776e+002dB,1.79981078007511e+002°)
1.06169555719872e+003	(2.39971791676536e+002dB,1.79981034387829e+002°)
1.06414301822431e+003	(2.39971791671271e+002dB,1.79980990667593e+002°)
1.06659612123026e+003	(2.39971791665983e+002dB,1.79980946846572e+002°)
1.06905487922266e+003	(2.39971791660670e+002dB,1.79980902924533e+002°)
1.07151930523761e+003	(2.39971791655333e+002dB,1.79980858901243e+002°)
1.07398941234124e+003	(2.39971791649971e+002dB,1.79980814776469e+002°)
1.07646521362983e+003	(2.39971791644584e+002dB,1.79980770549977e+002°)
1.07894672222983e+003	(2.39971791639172e+002dB,1.79980726221533e+002°)
