Frequency (Hz),Channel 2 (dBV)
0,-34.75805192181159
19.53125,-35.04245300268254
39.0625,-38.43294820856042
58.59375,-48.40405935901472
78.125,-66.86168823098411
97.65625,-86.31396853407523
117.1875,-70.40461879355504
136.71875,-68.64175853567868
156.25,-71.71522674078652
175.78125,-80.03191067991139
195.3125,-77.67187886647521
214.84375,-73.81163188593285
234.375,-74.35567410123413
253.90625,-77.84738564916105
273.4375,-74.27559104545682
292.96875,-70.19342464619069
312.5,-70.32242165184117
332.03125,-72.38552251470442
351.5625,-75.28091006335124
371.09375,-77.01898224261481
390.625,-72.28450585227867
410.15625,-69.25177510029479
429.6875,-67.530530176497
449.21875,-69.23420674139319
468.75,-77.52293062911973
488.28125,-83.75189473239126
507.8125,-76.36922585845102
527.34375,-74.79798777004463
546.875,-78.64403972418847
566.40625,-82.30328229372942
585.9375,-78.59349349801644
605.46875,-76.4766192198705
625,-74.43434553256103
644.53125,-74.01943589851759
664.0625,-81.4495091968985
683.59375,-79.73226508134864
703.125,-72.97540368912392
722.65625,-70.33894984377045
742.1875,-69.75086683687573
761.71875,-72.77029314162853
781.25,-77.47498984759244
800.78125,-81.59613469513681
820.3125,-107.0865119191882
839.84375,-84.15702015089721
859.375,-81.56459985826413
878.90625,-81.33477217870049
898.4375,-77.39679348330111
917.96875,-74.15904001517421
937.5,-74.51863897015924
957.03125,-76.15461049233487
976.5625,-78.97716530495654
996.09375,-82.26630875709347
1015.625,-81.00036729979277
1035.15625,-81.30211887105096
1054.6875,-88.12222617462115
1074.21875,-92.11857125047658
1093.75,-82.27352380652603
1113.28125,-81.07421584366926
1132.8125,-79.47169309947314
1152.34375,-79.27069377546609
1171.875,-79.92312858135725
1191.40625,-79.36205178512773
1210.9375,-79.54042961632175
1230.46875,-77.07058547808711
1250,-74.28426897799167
1269.53125,-74.14194497542178
1289.0625,-71.88702300606107
1308.59375,-69.74432338717749
1328.125,-68.89431440646545
1347.65625,-68.29006554408794
1367.1875,-69.46048568968769
1386.71875,-72.14214773421195
1406.25,-72.39971735690897
1425.78125,-71.61601102741321
1445.3125,-73.3236530214468
1464.84375,-76.29047914589688
1484.375,-78.47004216813522
1503.90625,-81.2972653764583
1523.4375,-77.62281045971665
1542.96875,-74.80980606045074
1562.5,-77.5269037204593
1582.03125,-80.11625000852712
1601.5625,-73.60125572639846
1621.09375,-71.30204623146211
1640.625,-69.77884614168941
1660.15625,-69.67080633423444
1679.6875,-73.44882009865771
1699.21875,-76.84082357195238
1718.75,-76.76194636331485
1738.28125,-78.18188421519616
1757.8125,-82.02161742816473
1777.34375,-82.94543196660101
1796.875,-82.11469703669502
1816.40625,-81.93911567743785
1835.9375,-77.55388625472725
1855.46875,-75.03485516573326
1875,-73.73897178794833
1894.53125,-74.43702669376702
1914.0625,-76.63304423769833
1933.59375,-77.4766718606525
1953.125,-81.3147846685012
1972.65625,-95.59535657996362
1992.1875,-77.72135933401275
2011.71875,-72.39907984672945
2031.25,-70.53807609838861
2050.78125,-72.2896665759997
2070.3125,-79.51058698588812
2089.84375,-82.33576382567038
2109.375,-73.82774668524435
2128.90625,-71.06440724291173
2148.4375,-70.02145888122327
2167.96875,-70.69520009886675
2187.5,-72.36389622659041
2207.03125,-72.85971229310424
2226.5625,-74.65595010381082
2246.09375,-77.02436673732805
2265.625,-78.81944571728371
2285.15625,-80.95048636214523
2304.6875,-86.03273991507908
2324.21875,-88.46664367905294
2343.75,-76.86375790132676
2363.28125,-71.78416176530224
2382.8125,-69.48659101614129
2402.34375,-68.18191386007041
2421.875,-68.36868742069765
2441.40625,-69.19322370410381
2460.9375,-69.31788975924528
2480.46875,-70.27101190255675
2500,-71.43615064324818
2519.53125,-72.52418134323337
2539.0625,-74.1053835516323
2558.59375,-73.91756195746696
2578.125,-76.45663722743134
2597.65625,-77.44540177011699
2617.1875,-75.10860613480146
2636.71875,-75.55402912053027
2656.25,-78.56171421588813
2675.78125,-81.08708153143353
2695.3125,-78.7561094946885
2714.84375,-77.87702605000551
2734.375,-73.60101631388662
2753.90625,-69.13309082012734
2773.4375,-68.94078756384368
2792.96875,-73.95402636752203
2812.5,-76.78738426714824
2832.03125,-72.11105584048059
2851.5625,-69.80458109329442
2871.09375,-68.44312379929006
2890.625,-69.46495223246012
2910.15625,-72.6569729054071
2929.6875,-71.80052713961874
2949.21875,-68.08698399762287
2968.75,-66.36852459780081
2988.28125,-65.50675424774505
3007.8125,-65.19635703510855
3027.34375,-66.8458737195711
3046.875,-69.91946020156131
3066.40625,-70.88026467318389
3085.9375,-70.88150902637457
3105.46875,-71.59937387558513
3125,-73.2568324460902
3144.53125,-77.74280649933925
3164.0625,-80.37056889985783
3183.59375,-79.3286981606617
3203.125,-86.5260737295738
3222.65625,-78.4718543379792
3242.1875,-71.1858101532596
3261.71875,-69.96500763101012
3281.25,-71.75642067036426
3300.78125,-75.53384346392546
3320.3125,-82.67587983219838
3339.84375,-80.19588226460047
3359.375,-79.9065845956502
3378.90625,-81.11428377096983
3398.4375,-78.71444918069659
3417.96875,-74.43119331994012
3437.5,-72.32426682970338
3457.03125,-72.03229865612187
3476.5625,-70.969832788837
3496.09375,-69.52785527485514
3515.625,-69.49563958048815
3535.15625,-71.20880585616698
3554.6875,-72.83505689590142
3574.21875,-72.40794904201854
3593.75,-71.06778574474114
3613.28125,-68.33950039474944
3632.8125,-66.37960315593516
3652.34375,-65.98898478499551
3671.875,-67.3276228854054
3691.40625,-70.1133295410413
3710.9375,-72.95648618657891
3730.46875,-75.68189923672199
3750,-75.90791771235496
3769.53125,-71.80174101052739
3789.0625,-70.65262080993048
3808.59375,-73.07286064602179
3828.125,-75.8039397704504
3847.65625,-82.42941054412535
3867.1875,-74.14843085566967
3886.71875,-68.24357519822553
3906.25,-68.36577115544954
3925.78125,-71.38779455174745
3945.3125,-84.06299852236442
3964.84375,-76.83331082270813
3984.375,-76.0142448421133
4003.90625,-76.17389308559071
4023.4375,-75.27051967858587
4042.96875,-77.98349762821292
4062.5,-79.8269599717417
4082.03125,-82.72014938866818
4101.5625,-82.1796996144932
4121.09375,-81.63144754678603
4140.625,-78.02286544644299
4160.15625,-76.51598966151144
4179.6875,-76.639746022062
4199.21875,-77.48560023468258
4218.75,-77.81145168763639
4238.28125,-80.88540466213233
4257.8125,-75.82141171241403
4277.34375,-74.29608064315896
4296.875,-77.00882062579876
4316.40625,-75.439619906258
4335.9375,-74.04945521991529
4355.46875,-75.20170593017241
4375,-78.89831509898526
4394.53125,-88.17693866011338
4414.0625,-88.85882118556708
4433.59375,-81.34910145687371
4453.125,-77.85702869036813
4472.65625,-80.14062414941627
4492.1875,-88.93757922148751
4511.71875,-81.39553954179404
4531.25,-76.5693630393272
4550.78125,-74.2047245026603
4570.3125,-74.31280507340652
4589.84375,-73.36080846731366
4609.375,-72.85682012157675
4628.90625,-73.03872183265825
4648.4375,-70.26149910777376
4667.96875,-68.54435095842506
4687.5,-67.87589996040583
4707.03125,-68.68708613310163
4726.5625,-71.0063349281465
4746.09375,-70.62283481119563
4765.625,-70.55990353360176
4785.15625,-72.67621523546559
4804.6875,-73.42224414375899
4824.21875,-76.43388279228779
4843.75,-78.02003520252769
4863.28125,-76.19877971708854
4882.8125,-73.05562116130298
4902.34375,-69.9090147763816
4921.875,-67.49003687344123
4941.40625,-65.94759356244484
